1º,2º,3º,
Bancos de dados relacionais,Modelo relacional,,
,Projeto de banco de dados relacionais,,
,Algebra e Calculo Relacional,,
,SQL,SQL embutida,
,,SQL dinamica,
,,Consulta Recursiva,
,,Restrições e Gatilhos,
,,Procedimentos Armazenados,
,,Visões,
,Forma Normal,,
,Integridade de Dados,,
,Calculo de predicados,,
,Interface Web com banco de dados relacionais,PHP,
,,Autenticação e Segurança,
,Sessão,,
,MySQL,,
,Postgres,,
,Encoding,,
,Banco de dados memoria principal,,
,Aplicações em Bancos de Dados relacionais,,
Modelagem de Dados,Modelo Entidade-Relacionamento,Mapeamento de esquema do ER para Relacional,
,,Mapeamento de operações do ER para Relacional,
,,Engenharia reversa de esquema do relacional para ER,
,Conceitos de Modelagem de Dados,Estragias de modelagem de Esquema,
,,Qualidade de dados,
,,Analise funcional usando Data Flow,
,Regras de Negocio,,
,Network Model,,
,Modelo Entidade-Relacionamento Estendido,,
,UML,,
,Projeto usando mapeamento ER e EER,,
Arquitetura de bancos de dados,cliente-servidor,bulk loading,
,processamento distribuido,,
,centralizada,,
Segurança em bancos de dados,Controle de acesso baseado em concessão e revogação de privilegios,,
,"Controle de acesso obrigatório e controle
de acesso baseado em papel para segurança
multinível",,
,Injeção de SQL,,
,Criptografia e infraestrutura de chave publica,,
,Banco de Dados Estatistico,,
Modelo Objeto-Relacional,Operações sobre Objeto-Relacional,,
Data Warehouse,OLAP,,
,Cubo de dados,,
Dado Semiestruturados,XML,,
Projeto Fisico de banco de dados relacionais,Tecnicas de Armazenamento,Clusterização,
,Dependencias Funcionais,,
,Indexação,Sparse vs Dense Index,
,,Indice Distribuido,
,,Acesso por chave primaria,
,,Acesso por chave secundaria,
,,Indexação de imagem,
,Hashing,,
,Otimização de SO,,
,Tunning de Hardware,,
Processamento e otimização de consultas,Plano de execução,,
,Algoritimo de execução de consultas,,
,Gerenciamento de Buffer,,
,Compilação de consultas,,
,Transação,,
,Recuperação,,
Recuperação de falhas,Logging,,
Controle de concorrencia,Escalonamento,,
,Serializabilidade,,
,Protocolos de bloqueios,,
,Metodos Otimistas,,
,Timestamp,,
,Deadlock,,
Banco de dados Distribuidos,Processamento e Otimização de Consulta,Profiling de consulta,
,Arquitetura,,
,Comprometimento em duas fases,,
,Bloqueio distribuido,,
,Transações distribuidas,,
,Controle de Concorrencia,,
,Replicação de Dados,,
,Gerencia de Transações,,
,Controle de integridade,,
,LMD,,
,Administração de Banco de Dados Distribuidos,,
,Segurança,,
Banco de dados Paralelos,MapReduce,,
,Processamento consulta paralelo,,
Mineração de dados,Mineração de items-frequentes,,
,Mineração de items similares,,
,Clusterização,Analise de cluster,
,Streaming de dados,,
,Data preprocessing,,
,Data Cleaning,,
,Data Integration,,
,Data Reduction,,
,Data Transformation,,
,Detecção de outlier,,
,Missing Values,,
,Visualização de dados,,
,Analise de dados,,
,Algoritmos de data mining,,
,,Modelagem para predição,
,,Distribuição de probabilidade,
,,Funçao de Score,
,KDD,,
,Mineração de Grafos,,
,Modelagem estatistica,,
Recupeção de informação,Sistema de buscas,Metric Space Searching,
,,Centralized Index Structures,
,,Approximate Similarity Search,
,,Parallel e Distributed Index,
,PageRank,,
,Lista Invertidas,,
,Modelo Vetorial,,
,Word Embeddings,,
,Indexação e Busca,,
,IR paralelo e distribuido,,
,Visualização,,
,Multimedia IR,,
,Operação em Texto,,
,Query,,
,Metricas de Recuperação,,
,Modelos de Recuperação de Informação,,
,Content-Based Image and Video Retrieval,,
Business Inteligence,Arquitetura,,
Gerenciamento de Bancos de dados relacionais,Instalação e Upgrade,,
,Padrões e Procedimentos,,
,Design de Bancos de Dados Relacionais,,
,Denormalização,,
,Performance e Tuning,,
,Gerenciamento de Mudança,,
,Disponibilidade de dados,,
,Planejamento de Disastre,,
,Gerenciamento de armazenamento,,
,Gerenciamento de Metadados,,
,Garantia de Nivel de Serviço,,
,Segurança,,
,Gerenciamento de Infraestrutura,,
,Gerenciamento de Risco,,
Banco de dados dedutivos,modelo minimo,,
,consultas recursivas com negação,,
,DataLog,,
,DataLog para SQL,,
gerenciamento de dados espaciais,tipos de dados,,
,consultas,,
,indices espaciais,,
,Indexação Baseada em Curvas de Preenchimento de Espaço,,
,Arquivos Grid,,
,Arvores R,,
Machine Learning,Classificação,,
,Regressão,,
,Arvore de Decisão,,
,Cross Validation,,
,Rede Bayesiana,,
Estrutura de Dados multidimensional,Multidimensional Point Data,,
,Object-Based e Image-based image representation,,
,interval and small Rectangle,,
,High-Dimensional Data,,
Cloud Computing,Tipos de Cloud,,
,Gerenciamento de infraestrutura,,
,Arquitetura de Cloud Computing,,
,Infraestrurura como Serviço,,
,Migraçao para Cloud,,
,Integração de Saas,,
,Enterprise Cloud,Cloud Supply Chain,
,Virtualização,,
,Segurança,,
,Aplicações em Cloud Computing,MapReduce,
,,Aplicações cientificas,
,,Workflow Engine,
,Monitoração,,
,Gerenciamento de SLA,,
,Arquitetura de aplicações em Cloud,,
,Gerenciamento de mudança,,
,Escalonamento,,
,Containerization,Kubernetes,
,,Operadores de Kubernetes,
,,Docker,
,Mecanismos de Infraestrutura de Cloud,,
,Cloud Delivery Model,,
,Princing Model e Cost Metrics,,
Sistemas Distribuidos,Network-Based Systems,,
,Ecossistema de software,,
,Modelos de sistemas,,
,Clusterização para paralelismo massivo,,
,Arquitetura orientada a serviço,,
,Computação em grid,,
,Computação em P2P,,
,Computação Ubíqua,,
,Micro-Serviços,Arquitetura,
,,Comunicação entre micro-serviços,
,,Workflow,
,,Implantação,
,,Testes,
,,Observabilidade,
,,Segurança,
,,Resiliencia,
,,Escalabilidade,
,Single-Node Pattern,Sidecar,
,,Ambassador,
,,Adapters,
,Serving Pattern,Replicated Load-Balanced Services,
,,Sharded Services,
,,Scatter/Gather,
,,Event-Driven Processing,
,,Ownership Election,
,Batch Pattern,Work Queue Systems,
,,Event-Driven Batch Processing,
,,Coordinated Batch Processing,
,Consistencia e Consenso,,
Data Streaming,Marca Dagua,,
,Windowing,,
,Exactly-Once,,
,SQL,,
,Arquitetura de Processamento de Dados,Kafka,
Column-Oriented Database Systems,,,
Big Data,Dado estruturado,,
,Dado não-estruturado,,
,Indentificação,,
,Ontologia,,
,Integração de dados,,
,Imutabilidade,,
,Analise de dados,,
,Legal,,
,Falha,,
,Arquiteturas,Data-Driven,
,Integração Big Data para DW,Gerenciamento de ciclo de vida de dados,
,,Visualização de dados,
,Business Inteligence em Big Data,,
SRE,Gerenciamento de infraestrutura,,
,Riscos,,
,Nivel de Serviço,,
,Monitoração,,
,Engenharia de release,,
,Oncall,,
,Testes,,
,Load Balancer,,
,Falhas,,
,Escalonamento,,
,Pipeline de processamento de dados,,
,Integridade de dados,,280
