1º,2º,3º,
Bancos de dados Relacionais,SQL,,
,Gerenciamento de bancos de dados,,
,Forma Normal,,
,Integridade de dados,,
,Projeto Fisico,Armazenamento,
,,Indexação,
,,Escalonamento,
,,Tunning,
,Controle de Concorrencia,,
,Otimização de consulta,,
,Bancos de dados Distribuidos,,
Modelagem Conceitual,Modelo entidade-relacionamento,Mapeamento de esquema do ER para Relacional,
,Modelo documento,,
,Modelo Grafo,,
,UML,,
,Evolução de esquema,,
Bancos de dados não relacionais,Tipos de bancos,Grafos,
,,Documento,
,,Chave-Valor,
,,Tabular,
,Projeto Fisico,Indexação,
,,Armazenamento,
,,Escalonamento,
,Integridade de dados,,
,Gerenciamento de bancos de dados,,
,Controle de Concorrencia,,
,Otimização de consulta,,
Mineração de dados,Batch,,
,Streaming,,
,ETLs,,
,Ingestão de dados,data integration,
,Transformação,,
,Qualidade de dados,nivel sintatico,
,,nivel semantico,
,,Dados faltantes,
,,limpeza de dados,
,Aquisição de dados,,
Cloud computing,Automatização de Infraestrutura,,
,Tecnicas de SRE,,
,Containers,,
,Custos,,86
,Virtualização,,
,Armazenamento fisico,,
,Segurança,,
,Monitoramento,,
,Escalabilidade,,
,Aplicações em cloud computing,,
Data Warehouse,Projeto Fisico,,
,Olap/Cubo de dados,,
Big Data,Arquitetura,data lakehouse,
,,data lake,
,Armazenamento Distribuido,Particionamento,
,,Replicação,
,,Transação,
,,Consistencia e Consenso,
,,Falha total e parcial,
,Tipos de dados,Estruturado,
,,Não-estruturado,
,Integração de dados,,
,Imutabilidade,,
,Banco de dados NewSQL,,
,Governança de dados,,
,MapReduce,,
,Spark,,
,Computação distribuida,,
,Governança de dados,,
Sistemas distribuidos,Micro-serviços,,
,Padrões de projeto,,
,Estrutura de Dados,,
