1º,,2º,,3º,,
Modelo de Dado pré-relacionais,2,"Modelos de Dados: Hierárquico, Redes;",4,,,
Bancos de dados não relacionais,5,,,,,
Bancos de dados não convencionais,3,bancos de dados heterogêneos;,3,,,
,,bancos de dados de genoma;,1,,,
,,"BD TEMPORAIS. SISTEMAS DE INFORMAÇÕES GEOGRÁFICAS. BD MULTIMÍDIA; ABORDAGEM TOP-DOWN; ABORDAGEM BOTTOM-UP; BD HOMOGÊNEO X HETEROGÊNEO; FRAGMENTAÇÃO, REPLICAÇÃO E ALOCAÇÃO;",3,,,
Projeto Fisico de banco de dados relacionais,16,Tecnicas de Armazenamento,15,,,
,,Indexação,14,,,
,,Hashing,2,,,
,,Tunning de Hardware,7,,,
,,BANCO DE DADOS AUTONÔMOS,1,,,
,,BANCO DE DADOS AUTO-CONFIGURÁVEIS,1,,,
,,Gasto energético e meio ambiente;,1,,,
Bancos de dados relacionais,20,Aplicações em Bancos de Dados relacionais,7,,,
,,Modelo Relacional,16,,,
,,SQL,21,Visoes,4,
,,,,Restrições e Gatilhos,15,
,,,,Procedimentos Armazenados,5,
,,Algebra Relacional,13,,,
,,Forma Normal,16,,,
,,Interface Web com banco de dados relacionais,4,,,
,,Integridade de Dados,2,,,
,,,,,,
Processamento e otimização de consultas,18,previsão de seletividade,3,,,
Controle de concorrencia,20,Deadlock,3,,,
,,Metodos Otimistas,2,,,
,,Timestamp,1,,,
,,Transação,20,,,
,,Protocolos de bloqueios,1,,,
Recuperação de falhas,11,Logging,3,,,
,,Recuperação,13,"Recuperação de falhas: categorias de falhas, gerência de buffer, técnicas de recuperação.",3,
,,,,Cópia e recuperação da base de dados.,1,
Modelagem Conceitual,14,Modelo Entidade-Relacionamento,15,Mapeamento de esquema do ER para Relacional,7,
,,,,Mapeamento de operações do ER para Relacional,6,
,,,,,,
,,Modelo Entidade-Relacionamento Estendido,3,,,
,,UML,4,,,
Dado Semiestruturados,2,XML,2,,,
Mineração de dados,8,Clusterização,2,Analise de cluster,1,
,,Streaming de dados,1,,,
,,Data preprocessing,1,,,
,,Data Cleaning,1,,,
,,Data Integration,1,,,
,,,,,,
,,Data Transformation,1,,,
,,Detecção de outlier,1,,,
,,Missing Values,1,,,
,,Visualização de dados,1,,,
,,,,,,
,,Algoritmos de data mining,2,,,
,,,,,,
,,,,,,
,,,,,,
,,KDD,2,,,
,,,,,,
,,,,,,
,,mineração de dados em domínios específicos,2,,,
Data Warehouse,6,OLAP,4,,,
,,Cubo de dados,1,,,
Modelo Objeto-Relacional,10,Operações sobre Objeto-Relacional,2,,,
Arquitetura de bancos de dados,10,cliente-servidor,2,,,
,,bancos de dados em ambientes de computação móvel;,2,,,
,,ANSI-X3-SPARC,1,,,
Segurança em bancos de dados,11,Controle de acesso baseado em concessão e revogação de privilegios,3,,,
,,"Controle de acesso obrigatório e controle
de acesso baseado em papel para segurança
multinível",1,,,
,,Injeção de SQL,,,,
,,Criptografia e infraestrutura de chave publica,,,,
Gerenciamento de Bancos de dados relacionais,16,Instalação e Upgrade,2,,,
,,Padrões e Procedimentos,2,,,
,,Design de Bancos de Dados Relacionais,2,,,
,,Denormalização,,,,
,,Performance e Tuning,8,,,
Banco de dados Distribuidos,8,Arquiteturas,4,,,
,,Controle de Concorrencia,2,,,
,,Administração de Banco de Dados Distribuidos,3,,,
,,Processamento e Otimização de Consulta,4,,,
,,Particionamento e alocação de dados e aplicações,2,,,
,,,,,,
,,Bloqueio distribuido,1,,,
,,Transações distribuidas,1,,,
,,Replicação de Dados,3,,,
,,Gerencia de Transações,3,,,
,,Controle de integridade,1,,,
,,,,,,
Business Inteligence,3,,,,,
gerenciamento de dados espaciais,1,,,,,
Banco de dados Paralelos,1,Processamento consulta paralelo,1,,,
Machine Learning,,Classificação,1,,,
,,Regressão,1,,,
Recupeção de informação,5,Sistema de buscas,2,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,Indexação e Busca,1,,,
,,,,,,
,,Visualização,2,,,
,,Multimedia IR,3,,,
,,,,,,
,,,,,,
,,,,,,
,,Modelos de Recuperação de Informação,1,,,
,,Content-Based Image and Video Retrieval,3,,,
Cloud Computing,1,Tipos de Cloud,1,,,
,,Gerenciamento de infraestrutura,1,Ferramentas de Infrastructure as Code (IaC),1,
,,Arquitetura de Cloud Computing,1,,,
,,Infraestrurura como Serviço,1,,,
,,Migraçao para Cloud,1,,,
,,Integração de Saas,1,,,
,,,,,,
,,Virtualização,2,,,
,,,,,,
,,Aplicações em Cloud Computing,1,,,
,,Arquitetura de aplicações em Cloud,1,,,
,,,,,,
,,Escalonamento,1,,,
,,Monitoração,2,Ferramentas de monitoração,1,
,,Gerenciamento de SLA,1,,,
,,Mecanismos de Infraestrutura de Cloud,1,,,
,,,,,,
,,,,,,
,,Containerization,1,,,
Data Streaming,1,,,,,
,,Arquitetura de Processamento de Dados,1,Kafka,1,
,,Padrões de Projetos de Stream de Dados,1,,,
Sistemas Distribuidos,,Micro-Serviços,1,Arquitetura,1,
,,,,Implantação,1,
Big Data,1,Arquiteturas,1,,,
,,Integração de dados,1,,,
,,,,,,
,,Analise de dados,1,,,
,,Apache Spark,1,,,
,,Apache Hadoop,2,,,138
,,MapReduce,2,,,
